agency_id,agency_business_entity_name,client_name
74,Enhance Corporate Pty Ltd,China Rail 15 Group
74,Enhance Corporate Pty Ltd,China First Pty Ltd
74,Enhance Corporate Pty Ltd,Queensland Nickel Pty Ltd
74,Enhance Corporate Pty Ltd,Mineralogy Pty Ltd
663,Espresso Communications,Squiz
663,Espresso Communications,Wynyard Group
71,Essential Media Communications Pty Ltd,Australian Marine Conservation Society
71,Essential Media Communications Pty Ltd,National Union of Students
71,Essential Media Communications Pty Ltd,Defence Teaming Centre
564,Etched Communications Pty Ltd,Nestle Australia
564,Etched Communications Pty Ltd,Bellamy's Organic
564,Etched Communications Pty Ltd,Achieve Australia
564,Etched Communications Pty Ltd, Interface Aust Pty Limited
512,Ethical Strategies Pty Ltd,Hepatitis Australia
512,Ethical Strategies Pty Ltd,Nutricia Australia
512,Ethical Strategies Pty Ltd,AbbVie Pty Ltd
324,FCC Partners,Chi - X
324,FCC Partners,Morgan Stanley
324,FCC Partners,Asia Pacific Stock Exchange
324,FCC Partners,IG Markets
324,FCC Partners,CFD and FX Forum
214,FIPRA Australia Pty Limited,Royal Caribbean Cruises Australia
214,FIPRA Australia Pty Limited,Royal Caribbean Cruises Limited USA
214,FIPRA Australia Pty Limited,FIPRA International UK
214,FIPRA Australia Pty Limited,FIPRA Europe Brussels
214,FIPRA Australia Pty Limited,Veritec Solutions USA
214,FIPRA Australia Pty Limited,Uber Australia Pty Limited
214,FIPRA Australia Pty Limited,KaComm Communications Pty Limited
214,FIPRA Australia Pty Limited,Cerus Inc
453,First State Advisors and Consultants ,Cemento Pty Ltd 
453,First State Advisors and Consultants ,Demigold Pty Ltd 
453,First State Advisors and Consultants ,Direct Freight Express Pty ltd 
453,First State Advisors and Consultants ,Cracknell and Lonergan Architects Pty Ltd 
453,First State Advisors and Consultants ,George Concord Pty Ltd 
453,First State Advisors and Consultants ,Eloura Holdings 
453,First State Advisors and Consultants ,Samstone Pty Ltd 
453,First State Advisors and Consultants ,Greenacre Business Park Pty Ltd 
453,First State Advisors and Consultants ,Pinpoint Marketing Pty Ltd 
453,First State Advisors and Consultants ,Romtech Pty Ltd 
453,First State Advisors and Consultants ,Thiess Pty Ltd 
453,First State Advisors and Consultants ,Polio (Australia) 
453,First State Advisors and Consultants ,Polio (NSW)
453,First State Advisors and Consultants ,Bravehearts Inc. (Pro Bono)
453,First State Advisors and Consultants ,China Rail 15 Group 
453,First State Advisors and Consultants ,Popular Compass Development
453,First State Advisors and Consultants ,Dell Australia Pty Ltd 
453,First State Advisors and Consultants ,Imperial Tobacco Ltd 
453,First State Advisors and Consultants ,Staples Australia Pty Ltd
453,First State Advisors and Consultants ,University of Western Sydney
453,First State Advisors and Consultants ,Charlton Excavation and Demolition
453,First State Advisors and Consultants ,The Group of Eight Limited
453,First State Advisors and Consultants ,Young & Rubicam Group Pty Limited
453,First State Advisors and Consultants ,Village Building Company 
453,First State Advisors and Consultants ,Australian Institute of Building Surveyors
453,First State Advisors and Consultants ,Women's Housing Limited 
453,First State Advisors and Consultants ,arbias
453,First State Advisors and Consultants ,Calcorp Services Pty Ltd 
453,First State Advisors and Consultants ,Greenex Environmental Pty Limited 
453,First State Advisors and Consultants ,Hunter Investment Corporation Pty Ltd 
453,First State Advisors and Consultants ,Advanced Algal Technologies Limited
453,First State Advisors and Consultants ,Aspen Medical Pty Ltd 
453,First State Advisors and Consultants ,Xiuyan Guan
453,First State Advisors and Consultants ,Deafness Forum Ltd. (Pro Bono)
453,First State Advisors and Consultants ,Affordable Community Housing Limited
453,First State Advisors and Consultants ,Caption It Pty Ltd 
453,First State Advisors and Consultants ,Compass Housing Services Co Ltd
453,First State Advisors and Consultants ,Andr̩ Nobbs 
453,First State Advisors and Consultants ,Nicovations Australia
295,Five Corners Pty Ltd,Mark Lawrence - Managing Director - MD Solutions Australasia Pty Ltd.
295,Five Corners Pty Ltd,Glernn Moore Executive Director Aurora Bioscience PO Box 946 Baulkham Hills NSW 2153
217,Fordham Management Pty Ltd,Primary Health Care Limited
202,Fowlstone Communications,Roslyn Oxley Gallery Pty Ltd
484,FPL Advisory Pty Ltd,Building Designers Association of Victoria
484,FPL Advisory Pty Ltd,GlaxoSmithKline
484,FPL Advisory Pty Ltd,Australian Camps Association
484,FPL Advisory Pty Ltd,Mars Australia Pty Ltd
484,FPL Advisory Pty Ltd,D'Orsogna Ltd
