agency_id,agency_business_entity_name,client_name
621,KnowMinister.com Pty Ltd,Gypsum Resources Australia
621,KnowMinister.com Pty Ltd,Australian Sugar Industry Alliance Limited
115,KPMG,The Cobra Group Pty Ltd
115,KPMG,Distilled Spirits Industry Council of Australia Inc
115,KPMG,The Australian Federation of Travel Agents
115,KPMG,Appco Group Australia Pty Ltd
115,KPMG,Australian Mushroom Growers' Association Ltd
115,KPMG,The Horticulture Taskforce
115,KPMG,Kawasaki Heavy Industries Ltd
115,KPMG,Evocca College
115,KPMG,ACTE Pty Ltd
115,KPMG,Global Blue Holdings AB
76,Kreab Gavin Anderson (Australia) Ltd,PTT Exploration and Production Public Company Ltd
76,Kreab Gavin Anderson (Australia) Ltd,Santos
76,Kreab Gavin Anderson (Australia) Ltd,Carnival Australia
76,Kreab Gavin Anderson (Australia) Ltd,Ramsay Health Care
76,Kreab Gavin Anderson (Australia) Ltd,BlueScope Steel Limited
76,Kreab Gavin Anderson (Australia) Ltd,ATM Industry Reference Group
76,Kreab Gavin Anderson (Australia) Ltd,Foxtel
76,Kreab Gavin Anderson (Australia) Ltd,McAfee Inc
76,Kreab Gavin Anderson (Australia) Ltd,Accommodation Association of Australia
76,Kreab Gavin Anderson (Australia) Ltd,PTTEP Australasia (Ashmore Cartier) Pty Ltd
76,Kreab Gavin Anderson (Australia) Ltd,Sportsbet
76,Kreab Gavin Anderson (Australia) Ltd,Brickworks Limited
76,Kreab Gavin Anderson (Australia) Ltd,Arrium Ltd
76,Kreab Gavin Anderson (Australia) Ltd,Seafood CRC Company Ltd
76,Kreab Gavin Anderson (Australia) Ltd,QBE Insurance (Australia) Ltd
76,Kreab Gavin Anderson (Australia) Ltd,Qube Group
76,Kreab Gavin Anderson (Australia) Ltd,First Data
76,Kreab Gavin Anderson (Australia) Ltd,Good Technology Australia Pty Ltd
76,Kreab Gavin Anderson (Australia) Ltd,Aristocrat Leisure Limited
76,Kreab Gavin Anderson (Australia) Ltd,Interlink Roads Pty Ltd 
76,Kreab Gavin Anderson (Australia) Ltd,Churchill Mining
76,Kreab Gavin Anderson (Australia) Ltd,International Social Games Association (ISGA)
76,Kreab Gavin Anderson (Australia) Ltd,The Banktech Group
76,Kreab Gavin Anderson (Australia) Ltd,Cashcard Australia Limited
76,Kreab Gavin Anderson (Australia) Ltd,DC Payments Pty Ltd
76,Kreab Gavin Anderson (Australia) Ltd,IGT (Australia) Pty Ltd
76,Kreab Gavin Anderson (Australia) Ltd,SICPA Security Solutions SA
76,Kreab Gavin Anderson (Australia) Ltd,Australian Digital Currency Commerce Association (ADCCA)
76,Kreab Gavin Anderson (Australia) Ltd,Engineers Australia
